ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2017-12-31,Z31122017,Wipkingen,R00102,16544.0,Definitiv,Kreis 10 (ab 1934),R01500,2017-12-31,2017-12-31,2017,102
2017-12-31,Z31122017,Leimbach,R00023,6212.0,Definitiv,Kreis 2 (ab 1893),R00200,2017-12-31,2017-12-31,2017,23
2017-12-31,Z31122017,Werd,R00041,4574.0,Definitiv,Kreis 4 (ab 1915),R00700,2017-12-31,2017-12-31,2017,41
2017-12-31,Z31122017,Wollishofen,R00021,17892.0,Definitiv,Kreis 2 (ab 1893),R00200,2017-12-31,2017-12-31,2017,21
2017-12-31,Z31122017,Hottingen,R00072,11172.0,Definitiv,Kreis 7 (ab 1934),R01300,2017-12-31,2017-12-31,2017,72
2017-12-31,Z31122017,Oerlikon,R00115,22815.0,Definitiv,Kreis 11 (ab 1970),R01800,2017-12-31,2017-12-31,2017,115
2017-12-31,Z31122017,Saatlen,R00121,8388.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2017-12-31,2017-12-31,2017,121
2017-12-31,Z31122017,Langstrasse,R00042,11144.0,Definitiv,Kreis 4 (ab 1915),R00700,2017-12-31,2017-12-31,2017,42
2017-12-31,Z31122017,Hard,R00044,13057.0,Definitiv,Kreis 4 (ab 1915),R00700,2017-12-31,2017-12-31,2017,44
2017-12-31,Z31122017,Gewerbeschule,R00051,9578.0,Definitiv,Kreis 5 (ab 1915),R00800,2017-12-31,2017-12-31,2017,51
2017-12-31,Z31122017,Altstetten,R00092,32603.0,Definitiv,Kreis 9 (ab 1934),R01400,2017-12-31,2017-12-31,2017,92
2017-12-31,Z31122017,Unterstrass,R00061,22768.0,Definitiv,Kreis 6 (ab 1934),R01200,2017-12-31,2017-12-31,2017,61
2017-12-31,Z31122017,Fluntern,R00071,8221.0,Definitiv,Kreis 7 (ab 1934),R01300,2017-12-31,2017-12-31,2017,71
2017-12-31,Z31122017,Hirzenbach,R00123,12627.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2017-12-31,2017-12-31,2017,123
2017-12-31,Z31122017,Rathaus,R00011,3266.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2017-12-31,2017-12-31,2017,11
2017-12-31,Z31122017,Affoltern,R00111,26177.0,Definitiv,Kreis 11 (ab 1970),R01800,2017-12-31,2017-12-31,2017,111
2017-12-31,Z31122017,Oberstrass,R00063,10846.0,Definitiv,Kreis 6 (ab 1934),R01200,2017-12-31,2017-12-31,2017,63
2017-12-31,Z31122017,Weinegg,R00083,5248.0,Definitiv,Kreis 8 (ab 1915),R01100,2017-12-31,2017-12-31,2017,83
